Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
132,4/2/17,CHO,@,OKC,2nd,05:26.0,CHO up 4 (42-38),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 5 (43-38)
133,4/2/17,CHO,@,OKC,2nd,09:11.0,CHO up 8 (36-28),J. Lamb makes free throw 1 of 1,CHO up 9 (37-28)
134,4/2/17,CHO,@,OKC,1st,01:36.0,CHO up 6 (26-20),M. Belinelli makes free throw 3 of 3,CHO up 7 (27-20)
135,4/2/17,CHO,@,OKC,1st,01:36.0,CHO up 5 (25-20),M. Belinelli makes free throw 2 of 3,CHO up 6 (26-20)
136,4/2/17,CHO,@,OKC,1st,01:36.0,CHO up 4 (24-20),M. Belinelli makes free throw 1 of 3,CHO up 5 (25-20)
137,4/2/17,CHO,@,OKC,1st,05:15.0,CHO down 4 (12-16),C. Zeller makes free throw 2 of 2,CHO down 3 (13-16)
138,4/2/17,CHO,@,OKC,1st,05:15.0,CHO down 5 (11-16),C. Zeller makes free throw 1 of 2,CHO down 4 (12-16)
139,4/2/17,CHO,@,OKC,1st,08:18.0,CHO down 1 (5-6),C. Zeller makes free throw 2 of 2,CHO tied (6-6)
140,4/2/17,CHO,@,OKC,1st,08:18.0,CHO down 1 (5-6),C. Zeller misses free throw 1 of 2,CHO down 1 (5-6)
141,4/2/17,CHO,@,OKC,1st,10:27.0,CHO down 1 (1-2),M. Kidd-Gilchrist makes free throw 2 of 2,CHO tied (2-2)
142,4/2/17,CHO,@,OKC,1st,10:27.0,CHO down 2 (0-2),M. Kidd-Gilchrist makes free throw 1 of 2,CHO down 1 (1-2)
143,3/31/17,CHO,,DEN,4th,00:36.0,CHO up 7 (121-114),K. Walker makes free throw 2 of 2,CHO up 8 (122-114)
144,3/31/17,CHO,,DEN,4th,00:36.0,CHO up 6 (120-114),K. Walker makes free throw 1 of 2,CHO up 7 (121-114)
145,3/31/17,CHO,,DEN,4th,01:32.0,CHO up 6 (117-111),K. Walker makes free throw 2 of 2,CHO up 7 (118-111)
146,3/31/17,CHO,,DEN,4th,01:32.0,CHO up 5 (116-111),K. Walker makes free throw 1 of 2,CHO up 6 (117-111)
147,3/31/17,CHO,,DEN,4th,06:34.0,CHO up 2 (103-101),F. Kaminsky makes free throw 1 of 1,CHO up 3 (104-101)
148,3/31/17,CHO,,DEN,4th,10:11.0,CHO down 3 (91-94),K. Walker misses free throw 1 of 1,CHO down 3 (91-94)
149,3/31/17,CHO,,DEN,3rd,00:59.0,CHO down 10 (80-90),K. Walker makes free throw 3 of 3,CHO down 9 (81-90)
150,3/31/17,CHO,,DEN,3rd,00:59.0,CHO down 11 (79-90),K. Walker makes free throw 2 of 3,CHO down 10 (80-90)
151,3/31/17,CHO,,DEN,3rd,00:59.0,CHO down 12 (78-90),K. Walker makes free throw 1 of 3,CHO down 11 (79-90)
152,3/31/17,CHO,,DEN,3rd,08:20.0,CHO down 1 (62-63),K. Walker makes free throw 2 of 2,CHO tied (63-63)
153,3/31/17,CHO,,DEN,3rd,08:20.0,CHO down 2 (61-63),K. Walker makes free throw 1 of 2,CHO down 1 (62-63)
154,3/31/17,CHO,,DEN,3rd,08:49.0,CHO down 3 (60-63),C. Zeller makes free throw 1 of 1,CHO down 2 (61-63)
155,3/31/17,CHO,,DEN,2nd,00:06.0,CHO up 3 (56-53),K. Walker misses free throw 1 of 1,CHO up 3 (56-53)
156,3/31/17,CHO,,DEN,2nd,01:20.0,CHO up 1 (51-50),M. Belinelli makes free throw 2 of 2,CHO up 2 (52-50)
157,3/31/17,CHO,,DEN,2nd,01:20.0,CHO tied (50-50),M. Belinelli makes free throw 1 of 2,CHO up 1 (51-50)
158,3/31/17,CHO,,DEN,2nd,03:20.0,CHO down 1 (46-47),C. Zeller makes free throw 2 of 2,CHO tied (47-47)
159,3/31/17,CHO,,DEN,2nd,03:20.0,CHO down 1 (46-47),C. Zeller misses free throw 1 of 2,CHO down 1 (46-47)
160,3/31/17,CHO,,DEN,2nd,04:54.0,CHO down 4 (43-47),N. Batum makes free throw 1 of 1,CHO down 3 (44-47)
161,3/31/17,CHO,,DEN,2nd,07:31.0,CHO down 4 (34-38),F. Kaminsky makes free throw 2 of 2,CHO down 3 (35-38)
162,3/31/17,CHO,,DEN,2nd,07:31.0,CHO down 5 (33-38),F. Kaminsky makes free throw 1 of 2,CHO down 4 (34-38)
